"Level,Interest,Course_Name,Career_Option,Description,Eligibility,Entrance_Exam,Admission_Month,Universities,Application_Link,Match_Percentage"
"10,Technical,ITI Electrician,Technician,विद्युत उपकरणों और वायरिंग की मरम्मत और इंस्टॉलेशन सीखना,10th Pass,None,June-July,Government ITIs / Private ITIs,https://dgt.gov.in/iti,80"
"10,Technical,ITI Fitter,Technician,मशीन पार्ट्स और उपकरणों की असेंबली व मरम्मत,10th Pass,None,June-July,Government ITIs / Private ITIs,https://dgt.gov.in/iti,78"
"10,Technical,ITI Welder,Technician,वेल्डिंग और कटिंग से जुड़ी तकनीक,10th Pass,None,June-July,Government ITIs / Private ITIs,https://dgt.gov.in/iti,76"
"10,Engineering,Polytechnic Diploma in Mechanical Engineering,Junior Engineer,मैकेनिकल इंजीनियरिंग में बेसिक डिप्लोमा,10th Pass,State Polytechnic Entrance,May-June,State Polytechnic Colleges,https://msbte.org.in,85"
"10,Engineering,Polytechnic Diploma in Civil Engineering,Junior Engineer,निर्माण और सिविल वर्क से जुड़ा कोर्स,10th Pass,State Polytechnic Entrance,May-June,State Polytechnic Colleges,https://msbte.org.in,84"
"10,Engineering,Polytechnic Diploma in Computer Engineering,Junior Engineer,कंप्यूटर प्रोग्रामिंग और हार्डवेयर की पढ़ाई,10th Pass,State Polytechnic Entrance,May-June,State Polytechnic Colleges,https://msbte.org.in,86"
"10,Vocational,Hospitality & Hotel Management,Vocational Expert,होटल और रिसॉर्ट मैनेजमेंट के बेसिक स्किल,10th Pass,None,June-Aug,Private Institutes / IHMs,https://www.ihm.ac.in/,70"
"10,Vocational,Fashion Designing,Vocational Expert,ड्रेस और फैशन इंडस्ट्री में बेसिक डिजाइनिंग,10th Pass,None,June-Aug,Fashion Design Institutes,https://nift.ac.in/,72"
"10,Commerce,Diploma in Accountancy,Junior Accountant,बेसिक अकाउंटिंग और बिजनेस फाइनेंस,10th Pass,None,June-Aug,Private & Govt Colleges,N/A,74"
"10,Arts,Certificate in Fine Arts,Artist,पेंटिंग, ड्रॉइंग और कला से जुड़ी पढ़ाई,10th Pass,None,June,Arts Institutes,https://www.ftii.ac.in/,68"
"10,Arts,Diploma in Dance,Performer,भारतीय शास्त्रीय या वेस्टर्न डांस की ट्रेनिंग,10th Pass,Audition,July,Music & Dance Academies,N/A,65"
"10,Arts,Diploma in Music,Musician,वाद्य यंत्र और गायन की ट्रेनिंग,10th Pass,Audition,July,Music Academies,N/A,67"
"10,Defence,Agniveer Soldier General Duty,Soldier,भारतीय सेना में सैनिक स्तर की भर्ती,10th Pass with 45%,Written + Physical Test,Varies,Indian Army Recruitment Centres,https://joinindianarmy.nic.in/,82"
"10,Defence,Agniveer Soldier Technical,Soldier,टेक्निकल उपकरण संभालने और ऑपरेट करने की ट्रेनिंग,10th Pass with Science,Written + Physical Test,Varies,Indian Army Recruitment Centres,https://joinindianarmy.nic.in/,80"
"10,Defence,Agniveer Soldier Tradesman,Soldier,ट्रेड से जुड़े काम जैसे कुक, टेलर, ITI धारक को प्राथमिकता,10th Pass or ITI,Written + Physical Test,Varies,Indian Army Recruitment Centres,https://joinindianarmy.nic.in/,78"
"10,Sports,Diploma in Physical Education,Trainer/Coach,खेल और फिटनेस ट्रेनिंग की पढ़ाई,10th Pass,None,June,Physical Education Colleges,N/A,73"
"10,Sports,Certificate in Sports Coaching,Coach,बेसिक लेवल पर खिलाड़ियों को ट्रेन करने की पढ़ाई,10th Pass,None,June,NSNIS Patiala & Sports Institutes,https://nsnis.org/,75"
